Song,Lyrics
"""Slut!"" (Taylor's Version) (From The Vault)","[Verse 1]
Flamingo pink, Sunrise Boulevard
Clink, clink, being this young is art
Aquamarine, moonlit swimmin' pool
What if all I need is you?
[Pre-Chorus]
Got love-struck, went straight to my head
Got lovesick all over my bed
Love to think you’ll never forget
Handprints in wet cement
Adorned with smoke on my clothes
Lovelorn and nobody knows
Love thorns all over this rose
I'll pay the price, you won't
[Chorus]
But if I’m all dressed up
They might as well be lookin' at us
And if they call me a slut
You know it might be worth it for once
And if I'm gonna be drunk
I might as well be drunk in love
[Verse 2]
Send the code, he's waitin' there
The sticks and stones they throw froze mid-air
Everyone wants him, that was my crime
The wrong place at the right time
And I break down, then he's pullin' me in
In a world of boys, he's a gentleman
[Pre-Chorus]
Got love-struck, went straight to my head (Straight to my head)
Got lovesick all over my bed (Over my bed)
Love to think you’ll never forget
We’ll pay the price, I guess
[Chorus]
But if I'm all dressed up (If I’m all dressed up)
They might as well be lookin' at us (Lookin' at us)
And if they call me a slut (If they call me a slut)
You know it might be worth it for once (Worth it for once)
And if I'm gonna be drunk
I might as well be drunk in love
[Bridge]
Half asleep
Takin’ your time in the tangerine
Neon light, this is luxury
You're not sayin' you're in love with me
But you're goin' to
Half awake
Takin' your chance, it's a big mistake
I said, ""It might blow up in your pretty face""
I'm not sayin', ""Do it anyway"" (Do it anyway)
But you're going to
[Outro]
(Up)
And if they call me a (Slut)
You know it might be worth it for once
And if I'm gonna be (Drunk)
I might as well be drunk in love"
22 (Taylor's Version),"[Verse 1]
It feels like a perfect night
To dress up like hipsters
And make fun of our exes
Uh-uh, uh-uh
It feels like a perfect night
For breakfast at midnight
To fall in love with strangers
Uh-uh, uh-uh
[Pre-Chorus]
Yeah
We're happy, free, confused, and lonely at the same time
It's miserable and magical, oh yeah
Tonight's the night when we forget about the deadlines
It's time, oh-oh
[Chorus]
I don't know about you
But I'm feelin' twenty-two
Everything will be alright if
You keep me next to you
You don't know about me
But I'll bet you want to
Everything will bе alright if
We just keep dancin' like we'rе
Twenty-two
Twenty-two
[Verse 2]
It seems like one of those nights
This place is too crowded
Too many cool kids
Uh-uh, uh-uh (Who's Taylor Swift anyway? Ew)
It seems like one of those nights
We ditch the whole scene
And end up dreamin'
Instead of sleepin'
[Pre-Chorus]
Yeah
We're happy, free, confused, and lonely in the best way
It's miserable and magical, oh, yeah
Tonight's the night when we forget about the heartbreaks
It's time, oh-oh
[Chorus]
(Hey)
I don't know about you
But I'm feelin' twenty-two
Everything will be alright if (Ooh)
You keep me next to you
You don't know about me
But I'll bet you want to
Everything will be alright if (Alright)
We just keep dancin' like we're
Twenty-two (Oh, oh, oh, oh, oh)
Twenty-two (I don't know about you)
Twenty-two
Twenty-two (Ooh)
[Post-Chorus]
It feels like one of those nights
We ditch the whole scene
It feels like one of those nights
We won't be sleepin'
It feels like one of those nights
You look like bad news
I gotta have you
I gotta have you
[Bridge]
Ooh, oh
Yeah, hey, yeah
[Chorus]
(Hey)
I don't know about you (I don't know about you)
But I'm feelin' twenty-two
Everything will be alright if (Ooh, oh-oh)
You keep me next to you
You don't know about me (You don't know about me)
But I'll bet you want to
Everything will be alright if
We just keep dancin' like we're (Dance like we're twenty-two)
Twenty-two (Ooh, woah-oh-oh-oh)
Twenty-two (Dancin' like)
Twenty-two (Yeah, yeah)
Twenty-two (Yeah, yeah, yeah)
[Post-Chorus]
It feels like one of those nights (Twenty-two)
We ditch the whole scene
It feels like one of those nights (Twenty-two)
We won't be sleepin'
It feels like one of those nights (Twenty-two)
You look like bad news
I gotta have you
I gotta have you"
Afterglow,"[Verse 1]
I blew things out of proportion, now you're blue
Put you in jail for something you didn’t do
I pinned your hands behind your back, oh
Thought I had reason to attack, but no
[Pre-Chorus 1]
Fighting with a true love is boxing with no gloves
Chemistry 'til it blows up, 'til there’s no us
Why'd I have to break what I love so much?
It's on your face, and I'm to blame, I need to say
[Chorus]
Hey, it's all me, in my head
I'm the one who burned us down
But it's not what I meant
Sorry that I hurt you
I don't wanna do, I don’t wanna do this to you (Ooh)
I don’t wanna lose, I don't wanna lose this with you (Ooh)
I need to say, hey, it’s all me, just don't go
Meet me in the afterglow
[Verse 2]
It's so excruciating to see you low
Just wanna lift you up and not let you go
This ultraviolet morning light below
Tells me this love is worth the fight, oh
[Pre-Chorus 2]
I lived like an island, punished you with silence
Went off like sirens, just crying
Why'd I have to break what I love so much?
It’s on your face, don't walk away, I need to say
[Chorus]
Hey, it's all me, in my head
I'm the one who burned us down
But it's not what I meant
I'm sorry that I hurt you
I don't wanna do, I don't wanna do this to you (Ooh)
I don't wanna lose, I don't wanna lose this with you (Ooh)
I need to say, hey, it's all me, just don't go
Meet me in the afterglow
[Bridge]
Tell me that you're still mine
Tell me that we'll be just fine
Even when I lose my mind
I need to say
Tell me that it's not my fault
Tell me that I'm all you want
Even when I break your heart
I need to say
[Chorus]
Hey, it's all me, in my head
I'm the one who burned us down
But it's not what I meant
Sorry that I hurt you
I don't wanna do, I don't wanna do this to you (Ooh)
I don't wanna lose, I don't wanna lose this with you (Ooh)
I need to say, hey, it's all me, just don't go
Meet me in the afterglow"
All Too Well (10 Minute Version) (Taylor's Version) (From The Vault),"[Verse 1]
I walked through the door with you, the air was cold
But somethin' 'bout it felt like home somehow
And I left my scarf there at your sister's house
And you've still got it in your drawer, even now
[Verse 2]
Oh, your sweet disposition and my wide-eyed gaze
We're singin' in the car, getting lost upstate
Autumn leaves fallin' down like pieces into place
And I can picture it after all these days
[Pre-Chorus]
And I know it's long gone and
That magic's not here no more
And I might be okay, but I'm not fine at all
Oh, oh, oh
[Chorus]
'Causе there we arе again on that little town street
You almost ran the red 'cause you were lookin' over at me
Wind in my hair, I was there
I remember it all too well
[Verse 3]
Photo album on the counter, 
your cheeks were turnin' red
You used to be a little kid with glasses in a twin-sized bed
And your mother's tellin' stories 'bout you on the 
tee-ball team
You taught me 'bout your past, thinkin' your future was me
And you were tossing me the car keys, ""Fuck the patriarchy""
Keychain on the ground, we were always skippin' town
And I was thinkin' on the drive down, ""Any time now
He's gonna say it's love,"" you never called it what it was
'Til we were dead and gone and buried
Check the pulse and come back swearin' it's the same
After three months in the grave
And then you wondered where it went to as I reached for you
But all I felt was shame and you held my lifeless frame
[Pre-Chorus]
And I know it's long gone and
There was nothing else I could do
And I forget about you long enough
To forget why I needed to
[Chorus]
'Cause there we are again in the middle of the night
We're dancin' 'round the kitchen in the refrigerator light
Down the stairs, I was there
I remember it all too well
And there we are again when nobody had to know
You kept me like a secret, but I kept you like an oath
Sacred prayer and we'd swear
To remember it all too well, yeah
[Bridge]
Well, maybe we got 
lost in translation
, maybe I asked for too much
But maybe this thing was a masterpiece 'til you tore it all up
Runnin' scared, I was there
I remember it all too well
And you call me up again just to break me like a promise
So casually cruel in the name of bein' honest
I'm a crumpled-up piece of paper lyin' here
'Cause I remember it all, all, all
[Verse 4]
They say all's well that ends well, but I'm in a new hell
Every time you double-cross my mind
You said if we had been closer in age, maybe it would've been fine
And that made me want to die
The idea you had of me, who was she?
A never-needy, ever-lovely jewel whose shine reflects on you
Not weepin' in a party bathroom
Some actress askin' me what happened, you
That's what happened, you
You who charmed my dad with self-effacing jokes
Sippin' coffee like you're on a late-night show
But then he watched me watch the front door all night, willin' you to come
And he said, ""It's supposed to be fun turning twenty-one""
[Verse 5]
Time won't fly, it's like I'm paralyzed by it
I'd like to be my old self again, but I'm still tryin' to find it
After plaid shirt days and nights when you made me your own
Now you mail back my things and I walk home alone
But you keep my old scarf from that very first week
'Cause it reminds you of innocence and it smells like me
You can't get rid of it
'Cause you remember it all too well, yeah
[Chorus]
'Cause there we are again when I loved you so
Back before you lost the one real thing you've ever known
It was rare, I was there
I remember it all too well
Wind in my hair, you were there
You remember it all
Down the stairs, you were there
You remember it all
It was rare, I was there
I remember it all too well
[Verse 6]
And I was never good at tellin' jokes, but the punch line goes
""I'll get older, but your lovers stay my age""
From when your Brooklyn broke my skin and bones
I'm a soldier who's returning half her weight
And did the twin flame bruise paint you blue?
Just between us, did the love affair maim you too?
'Cause in this city's barren cold
I still remember the first fall of snow
And how it glistened as it fell
I remember it all too well
[Outro]
Just between us, did the love affair maim you all too well?
Just between us, do you remember it all too well?
Just between us, I remember it (Just between us) all too well
Wind in my hair, I was there, I was there (I was there)
Down the stairs, I was there, I was there
Sacred prayer, I was there, I was there
It was rare, you remember it all too well
Wind in my hair, I was there, I was there (Oh)
Down the stairs, I was there, I was there (I was there)
Sacred prayer, I was there, I was there
It was rare, you remember it (All too well)
Wind in my hair, I was there, I was there
Down the stairs, I was there, I was there
Sacred prayer, I was there, I was there
It was rare, you remember it
Wind in my hair, I was there, I was there
Down the stairs, I was there, I was there
Sacred prayer, I was there, I was there
It was rare, you remember it"
All Too Well (Taylor's Version),"[Verse 1]
I walked through the door with you, the air was cold
But something 'bout it felt like home somehow
And I left my scarf there at your sister's house
And you've still got it in your drawer, even now
[Verse 2]
Oh, your sweet disposition and my wide-eyed gaze
We're singing in the car, getting lost upstate
Autumn leaves falling down like pieces into place
And I can picture it after all these days
[Pre-Chorus]
And I know it's long gone and
That magic's not here no more
And I might be okay, but I'm not fine at all
Oh, oh, oh
[Chorus]
'Causе there we arе again on that little town street
You almost ran the red 'cause you were lookin' over at me
Wind in my hair, I was there
I remember it all too well
[Verse 3]
Photo album on the counter, your cheeks were turning red
You used to be a little kid with glasses in a twin-sized bed
And your mother's telling stories 'bout you on the tee-ball team
You taught me 'bout your past, thinking your future was me
[Pre-Chorus]
And I know it's long gone and
There was nothing else I could do
And I forget about you long enough
To forget why I needed to
[Chorus]
'Cause there we are again in the middle of the night
We're dancing 'round the kitchen in the refrigerator light
Down the stairs, I was there
I remember it all too well, yeah
[Bridge]
And maybe we got lost in translation
Maybe I asked for too much
But maybe this thing was a masterpiece
'Til you tore it all up
Running scared, I was there
I remember it all too well
And you call me up again
Just to break me like a promise
So casually cruel in the name of being honest
I'm a crumpled up piece of paper lying here
'Cause I remember it all, all, all
Too well
[Verse 4]
Time won't fly, it's like I'm paralyzed by it
I'd like to be my old self again, but I'm still trying to find it
After plaid shirt days and nights when you made me your own
Now you mail back my things and I walk home alone
But you keep my old scarf from that very first week
'Cause it reminds you of innocence and it smells like me
You can't get rid of it
'Cause you remember it all too well, yeah
[Chorus]
'Cause there we are again when I loved you so
Back before you lost the one real thing you've ever known
It was rare, I was there
I remember it all too well
[Outro]
Wind in my hair, you were there
You remember it all
Down the stairs, you were there
You remember it all
It was rare, I was there
I remember it all too well"
All You Had To Do Was Stay (Taylor's Version),"[Intro]
(Hey, hey, hey)
(Hey, hey, hey)
(Hey, hey, hey)
(Hey, hey, hey)
[Verse 1]
People like you always want back
The love they gave away
And people like me wanna believe you
When you say you've changed
The more I think about it now
The less I know
All I know is that you drove us
Off the road
[Chorus]
(Stay) Hey, all you had to do was stay
Had me in the palm of your hand, then
Why'd you have to go and lock me out when I let you in?
(Stay) Hey, now you say you want it back
Now that it's just too late, well, could've been easy
All you had to do was (Stay)
[Post-Chorus]
All you had to do was (Stay)
All you had to do was (Stay)
All you had to do was (Stay)
All you had to do was stay
[Verse 2]
Here you are now, callin' me up
But I don't know what to say
I've been pickin' up the pieces
Of the mess you made
People like you always want back
The love they pushed aside
But people like me are gone forever
When you say goodbye
[Chorus]
(Stay) Hey, all you had to do was stay
Had me in the palm of your hand, then
Why'd you have to go and lock me out when I let you in?
(Stay) Hey, now you say you want it back
Now that it's just too late, well, could've been easy
All you had to do was (Stay)
[Post-Chorus]
All you had to do was (Stay)
All you had to do was (Stay)
All you had to do was (Stay, stay, stay, stay)
[Bridge]
Let me remind you
This was what you wanted (Oh, oh, oh-oh-oh)
You ended it
You were all I wanted (Oh, oh, oh-oh-oh)
But not like this
Not like this, not like this
Oh, all you had to do was
[Chorus]
(Stay) Hey, all you had to do was stay
Had me in the palm of your hand, then
Why'd you have to go and lock me out when I let you in?
(Stay) Hey, now you say you want it back
Now that it's just too late, well, could've been easy
All you had to do was
(Stay; Ah) Hey, all you had to do was stay
Had me in the palm of your hand, then
Why'd you have to go and lock me out when I let you in?
(Stay; Ah) Hey, now you say you want it back
Now that it's just too late, well, it could've been easy (All you had to do was stay)
All you had to do was (Stay)
[Post-Chorus]
(Ah) All you had to do was (Stay; Oh)
All you had to do was (Stay)
All you had to do was (Stay; Ooh)
All you had to do was (Stay)"
Anti-Hero,
Babe (Taylor's Version) (From The Vault),"[Intro]
What about your promises, promises?
What about your promises, promises, promises? No
[Verse 1]
What a shame
Didn't wanna be the one that got away, yeah
Big mistake, you broke the sweetest promise
That you never should have made
[Pre-Chorus]
I'm here on the kitchen floor
You call, but I won't hear it
You said, ""No one else""
How could you do this, babe?
[Chorus]
(What about your promises, promises?)
You really blew this, babe
We ain't getting through this one, babe
This is the last time I'll ever call you, babe
(This is the last time, this is the last time)
This is the last time I'll ever call you, babe
(What about your promises, promises, promises? No)
[Verse 2]
What a waste
Takin' down the pictures and the plans we made, yeah
And it's strange how your face doesn't look so innocent
Your secret has its consequence and that's on you, babe
[Pre-Chorus]
I break down every time you call
We're a wreck, you're the wrecking ball
We said, ""No one else""
How could you do this, babe?
[Chorus]
(Oh, what about your promises, promises?)
You really blew this, babe
We ain't getting through this one, babe
This is the last time I'll ever call you, babe
(This is the last time, this is the last time)
This is the last time I'll ever call you
[Bridge]
Since you admitted it (Oh-oh), I keep picturin' (Oh-oh)
Her lips on your neck (Oh-oh), I can't unsee it
I hate that because of you, I can't love you, babe
What a shame, didn't want to be the one that got away
How could you do this, babe? (Babe)
[Chorus]
You really blew this, babe (Babe)
We ain't getting through this one, babe (Babe)
This is the last time I'll ever call you, babe (Babe)
(This is the last time, this is the last time)
This is the last time I'll ever call you
[Outro]
I'm here on the kitchen floor
You call, but I won't hear it
You said, ""No one else""
We ain't getting through this one, babe
I break down every time you call
We're a wreck, you're the wrecking ball
We said, ""No one else""
This is the last time I'll ever call you, babe (Babe)
(What about your promises, promises?)"
Back To December (Taylor's Version),"[Verse 1]
I'm so glad you made time to see me
How's life? Tell me, how's your family?
I haven't seen them in a while
You've been good, busier than ever
We small talk, work and the weather
Your guard is up and I know why
[Pre-Chorus]
Because the last time you saw me
Is still burned in the back of your mind
You gave me roses and I left them there to die
[Chorus]
So, this is me swallowing my pride
Standin' in front of you sayin', ""I'm sorry for that night
""
And I go back to December all the time
It turns out freedom ain't nothing but missin' you
Wishin' I'd realized what I had when you were mine
I go back to December, turn around and make it alright
I go back to December all the time
[Verse 2]
These days, I haven't been sleeping
Stayin' up, playing back myself leavin'
When your birthday passed and I didn't call
Then I think about summer, all the beautiful times
I watched you laughin' from the passenger side
And realized I loved you in the fall
[Pre-Chorus]
And then the cold came, the dark days
When fear crept into my mind
You gave me all your love and all I gave you was goodbye
[Chorus]
So, this is me swallowing my pride
Standin' in front of you, sayin', ""I'm sorry for that night""
And I go back to December all the time
It turns out freedom ain't nothing but missin' you
Wishin' I'd realized what I had when you were mine
I go back to December, turn around and change my own mind
I go back to December all the time
[Bridge]
I miss your tanned skin, your sweet smile
So good to me, so right
And how you held me in your arms that September night
The first time you ever saw me cry
Maybe this is wishful thinkin'
Probably mindless dreaming
But if we loved again, I swear I'd love you right
I'd go back in time and change it, but I can't
So, if the chain is on your door, I understand
[Chorus]
But this is me swallowing my pride
Standin' in front of you, sayin', ""I'm sorry for that night""
And I go back to December
It turns out freedom ain't nothing but missin' you
Wishin' I'd realized what I had when you were mine
I go back to December, turn around and make it alright
I go back to December, turn around and change my own mind
I go back to December all the time
[Outro]
All the time"
Bad Blood (Taylor's Version),"[Chorus]
'
Cause, baby, now we got bad blood
You know it used to be mad love
So take a look what you've done
'Cause, baby, now we got bad blood, hey
Now we got problems
And I don't think we can solve them
You made a really deep cut
And, baby, now we got bad blood, hey
[Verse 1]
Did you have to do this?
I was thinking that you could be trusted
Did you have to ruin
What was shiny? Now it's all rusted
Did you have to hit me
Where I'm weak? Baby, I couldn't breathe
And rub it in so deep
Salt in the wound like you're laughin' right at me
[Pre-Chorus]
Oh, it's so sad to
Think about the good times
You and I
[Chorus]
'Cause, baby, now we got bad blood
You know it used to be mad lovе
So take a look what you've done
'Causе, baby, now we got bad blood, hey
Now we got problems
And I don't think we can solve them
You made a really deep cut
And, baby, now we got bad blood, hey
[Verse 2]
Did you think we'd be fine?
Still got scars on my back from your knife
So don't think it's in the past
These kinda wounds, they last and they last
Now, did you think it all through?
All these things will catch up to you
And time can heal, but this won't
So if you're comin' my way, just don't
[Pre-Chorus]
Oh, it's so sad to
Think about the good times
You and I
[Chorus]
'Cause, baby, now we got bad blood
You know it used to be mad love
So take a look what you've done
'Cause, baby, now we got bad blood, hey
Now we got problems
And I don't think we can solve them
You made a really deep cut
And, baby, now we got bad blood, hey
[Bridge]
Band-aids don't fix bullet holes
You say sorry just for show
If you live like that, you live with ghosts (Ghosts)
Band-aids don't fix bullet holes (Hey)
You say sorry just for show (Hey)
If you live like that, you live with ghosts (Hey), mmm
If you love like that, blood runs cold
[Chorus]
'Cause, baby, now we got bad blood
You know it used to be mad love (Mad love)
So take a look what you've done
'Cause, baby, now we got bad blood, hey (Bad blood)
Now we got problems
And I don't think we can solve them (Think we can solve them)
You made a really deep cut
And, baby, now we got bad blood, hey ('Cause now we got bad blood)
'Cause, baby, now we got bad blood
You know it used to be mad love
So take a look what you've done (Look what you've done)
'Cause, baby, now we got bad blood, hey (Ooh, woah, no)
Now we got problems
And I don't think we can solve them
You made a really deep cut
And, baby, now we got bad blood, hey"
